央视-河南电信,#genre#
荥阳,http://222.85.69.6/PLTV/88888888/224/3221227064/index.m3u8?icpid=88888888&servicetype=1
新密,http://222.85.69.6/PLTV/88888888/224/3221227058/index.m3u8?icpid=88888888&servicetype=1
新郑,http://222.85.69.6/PLTV/88888888/224/3221227096/index.m3u8?icpid=88888888&servicetype=1
登封,http://222.85.69.6/PLTV/88888888/224/3221227061/index.m3u8?icpid=88888888&servicetype=1
开封新闻综合,http://219.150.217.47:6610/PLTV1/1800/index.m3u8?icpid=dxrm1
开封文化旅游,http://219.150.217.47:6610/PLTV1/1820/index.m3u8?icpid=dxrm1
祥符,http://222.85.25.226/PLTV/88888888/224/3221227235/1.m3u8
通许,http://222.85.69.6/PLTV/88888888/224/3221227237/index.m3u8?icpid=88888888&servicetype=1
兰考,http://222.85.69.6/PLTV/88888888/224/3221227300/index.m3u8?icpid=88888888&servicetype=1
洛阳新闻综合,http://219.150.217.47:6610/PLTV1/1840/index.m3u8?icpid=dxrm1
洛阳文体频道,http://219.150.217.47:6610/PLTV1/1880/index.m3u8?icpid=dxrm1
洛阳科教频道,http://219.150.217.47:6610/PLTV1/1860/index.m3u8?icpid=dxrm1
洛宁,http://123.160.108.15:6610/PLTV1/190041/1.m3u8?
孟津,http://219.150.217.47:6610/PLTV2/3860/index.m3u8?icpid=dxrm1
新安,http://123.160.108.7:6610/PLTV1/190043/1.m3u8?
新安,http://123.160.108.15:6610/PLTV1/190043/1.m3u8?
嵩县,http://219.150.217.47:6610/PLTV2/3900/index.m3u8?icpid=dxrm1
洛宁,http://123.160.108.7:6610/PLTV1/190041/1.m3u8?
平顶山新闻综合,http://219.150.217.47:6610/PLTV1/1900/index.m3u8?icpid=dxrm1
平顶山城市频道,http://219.150.217.47:6610/PLTV1/1920/index.m3u8?icpid=dxrm1
平顶山公共频道,http://219.150.217.47:6610/PLTV1/1940/index.m3u8?icpid=dxrm1
平顶山教育台,http://123.160.108.7:6610/PLTV1/190015/1.m3u8?
平顶山教育台,http://123.160.108.15:6610/PLTV1/190015/1.m3u8?
舞钢,http://219.150.217.47:6610/PLTV2/2620/index.m3u8?icpid=dxrm1
叶县,http://123.160.108.15:6610/PLTV1/190019/1.m3u8?
叶县,http://123.160.108.7:6610/PLTV1/190019/1.m3u8?
鲁山,http://123.160.108.7:6610/PLTV1/190053/1.m3u8?
鲁山,http://123.160.108.15:6610/PLTV1/190053/1.m3u8?
